customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST000001,83,2,83.87,5,3,2,10,Loyal Customers
CUST000002,253,4,224.46,3,5,4,12,Loyal Customers
CUST000003,101,2,104.42999999999999,4,3,2,9,Potential Loyalists
CUST000005,16,2,305.34999999999997,5,3,5,13,Champions
CUST000006,355,1,34.99,2,1,1,4,Lost Customers
CUST000007,331,1,83.31,2,1,2,5,At Risk
CUST000008,239,1,168.32000000000002,3,1,3,7,Potential Loyalists
CUST000009,469,1,167.02,1,1,3,5,At Risk
CUST000010,202,2,264.6,3,3,5,11,Loyal Customers
CUST000011,440,1,97.03,2,1,2,5,At Risk
CUST000013,321,2,172.84,2,3,4,9,Potential Loyalists
CUST000014,235,2,117.07,3,3,3,9,Potential Loyalists
CUST000015,440,2,121.47,2,3,3,8,Potential Loyalists
CUST000016,563,1,80.03999999999999,1,1,2,4,Lost Customers
CUST000017,279,1,39.08,3,1,1,5,At Risk
CUST000018,408,2,111.44000000000001,2,3,2,7,Potential Loyalists
CUST000019,155,3,205.2,4,4,4,12,Loyal Customers
CUST000020,617,1,225.74,1,1,4,6,At Risk
CUST000021,89,2,285.86,4,3,5,12,Loyal Customers
CUST000022,624,1,83.18,1,1,2,4,Lost Customers
CUST000023,12,1,57.14,5,1,1,7,Potential Loyalists
CUST000025,263,2,168.96,3,3,3,9,Potential Loyalists
CUST000026,224,2,179.16,3,3,4,10,Loyal Customers
CUST000027,331,1,30.22,2,1,1,4,Lost Customers
CUST000028,150,2,105.9,4,3,2,9,Potential Loyalists
CUST000029,43,4,221.67000000000002,5,5,4,14,Champions
CUST000030,397,2,412.2,2,3,5,10,Loyal Customers
CUST000032,89,2,152.23000000000002,4,3,3,10,Loyal Customers
CUST000036,24,4,416.99,5,5,5,15,Champions
CUST000037,297,4,261.0,3,5,4,12,Loyal Customers
CUST000038,228,2,156.87,3,3,3,9,Potential Loyalists
CUST000039,29,1,374.70000000000005,5,1,5,11,Loyal Customers
CUST000040,194,3,316.01,3,4,5,12,Loyal Customers
CUST000041,166,1,95.0,4,1,2,7,Potential Loyalists
CUST000042,597,1,130.86,1,1,3,5,At Risk
CUST000043,57,2,159.03,5,3,3,11,Loyal Customers
CUST000045,67,2,132.09,5,3,3,11,Loyal Customers
CUST000046,533,1,51.92,1,1,1,3,Lost Customers
CUST000047,228,3,289.4,3,4,5,12,Loyal Customers
CUST000048,95,2,170.94,4,3,4,11,Loyal Customers
CUST000051,281,3,131.62,3,4,3,10,Loyal Customers
CUST000052,54,2,185.22,5,3,4,12,Loyal Customers
CUST000055,55,4,544.8199999999999,5,5,5,15,Champions
CUST000056,431,3,240.87,2,4,4,10,Loyal Customers
CUST000057,39,2,106.16999999999999,5,3,2,10,Loyal Customers
CUST000058,92,2,222.49,4,3,4,11,Loyal Customers
CUST000059,517,1,68.62,1,1,1,3,Lost Customers
CUST000060,664,2,90.47999999999999,1,3,2,6,At Risk
CUST000062,50,1,53.78,5,1,1,7,Potential Loyalists
CUST000063,49,1,18.62,5,1,1,7,Potential Loyalists
CUST000064,624,1,62.61,1,1,1,3,Lost Customers
CUST000065,466,1,83.19,2,1,2,5,At Risk
CUST000066,200,3,320.29,3,4,5,12,Loyal Customers
CUST000067,279,2,313.47,3,3,5,11,Loyal Customers
CUST000068,391,2,93.17,2,3,2,7,Potential Loyalists
CUST000069,11,3,279.03999999999996,5,4,5,14,Champions
CUST000071,132,2,331.46,4,3,5,12,Loyal Customers
CUST000072,374,1,43.760000000000005,2,1,1,4,Lost Customers
CUST000073,419,1,48.06,2,1,1,4,Lost Customers
CUST000074,656,1,214.98,1,1,4,6,At Risk
CUST000075,254,1,49.5,3,1,1,5,At Risk
CUST000076,572,1,54.51,1,1,1,3,Lost Customers
CUST000077,694,1,40.3,1,1,1,3,Lost Customers
CUST000078,184,2,155.79999999999998,3,3,3,9,Potential Loyalists
CUST000079,85,2,70.97,4,3,2,9,Potential Loyalists
CUST000080,360,1,76.89,2,1,2,5,At Risk
CUST000081,44,2,103.81,5,3,2,10,Loyal Customers
CUST000082,362,2,95.69999999999999,2,3,2,7,Potential Loyalists
CUST000083,299,1,169.10999999999999,3,1,3,7,Potential Loyalists
CUST000084,530,1,78.84,1,1,2,4,Lost Customers
CUST000085,269,2,146.79,3,3,3,9,Potential Loyalists
CUST000088,220,1,219.06,3,1,4,8,Potential Loyalists
CUST000090,84,1,36.09,5,1,1,7,Potential Loyalists
CUST000091,58,1,58.81,5,1,1,7,Potential Loyalists
CUST000092,521,1,415.7,1,1,5,7,Potential Loyalists
CUST000093,571,1,57.89,1,1,1,3,Lost Customers
CUST000094,271,2,236.64999999999998,3,3,4,10,Loyal Customers
CUST000095,33,1,71.11,5,1,2,8,Potential Loyalists
CUST000096,491,1,74.55,1,1,2,4,Lost Customers
CUST000098,250,1,48.38,3,1,1,5,At Risk
CUST000099,258,2,260.77000000000004,3,3,4,10,Loyal Customers
CUST000100,73,3,320.97,5,4,5,14,Champions
CUST000104,99,1,125.72,4,1,3,8,Potential Loyalists
CUST000105,526,1,256.72,1,1,4,6,At Risk
CUST000106,137,1,54.790000000000006,4,1,1,6,At Risk
CUST000107,205,2,211.97000000000003,3,3,4,10,Loyal Customers
CUST000111,443,2,153.16,2,3,3,8,Potential Loyalists
CUST000112,677,1,309.22,1,1,5,7,Potential Loyalists
CUST000113,526,1,58.18,1,1,1,3,Lost Customers
CUST000115,46,1,193.48999999999998,5,1,4,10,Loyal Customers
CUST000116,446,1,138.46,2,1,3,6,At Risk
CUST000117,694,1,23.43,1,1,1,3,Lost Customers
CUST000118,178,2,461.13,4,3,5,12,Loyal Customers
CUST000120,218,2,170.53,3,3,4,10,Loyal Customers
CUST000122,191,1,86.57000000000001,3,1,2,6,At Risk
CUST000123,291,2,181.93,3,3,4,10,Loyal Customers
CUST000125,16,6,436.47,5,5,5,15,Champions
CUST000126,148,2,286.31,4,3,5,12,Loyal Customers
CUST000129,606,1,140.47,1,1,3,5,At Risk
CUST000130,234,1,68.02,3,1,1,5,At Risk
CUST000131,422,1,23.53,2,1,1,4,Lost Customers
CUST000132,531,2,253.19,1,3,4,8,Potential Loyalists
CUST000136,237,2,109.14,3,3,2,8,Potential Loyalists
CUST000137,32,2,288.74,5,3,5,13,Champions
CUST000138,70,2,230.22000000000003,5,3,4,12,Loyal Customers
CUST000141,409,2,248.13,2,3,4,9,Potential Loyalists
CUST000143,440,1,57.010000000000005,2,1,1,4,Lost Customers
CUST000145,510,1,89.17999999999999,1,1,2,4,Lost Customers
CUST000146,572,1,155.11,1,1,3,5,At Risk
CUST000147,217,1,44.94,3,1,1,5,At Risk
CUST000148,259,4,322.63,3,5,5,13,Champions
CUST000150,265,1,65.53,3,1,1,5,At Risk
CUST000152,408,1,114.54,2,1,3,6,At Risk
CUST000153,430,2,92.75999999999999,2,3,2,7,Potential Loyalists
CUST000154,574,1,111.53999999999999,1,1,2,4,Lost Customers
CUST000155,133,1,64.11,4,1,1,6,At Risk
CUST000157,281,2,96.69999999999999,3,3,2,8,Potential Loyalists
CUST000159,10,5,740.2,5,5,5,15,Champions
CUST000160,318,1,46.08,2,1,1,4,Lost Customers
CUST000162,64,2,179.75,5,3,4,12,Loyal Customers
CUST000163,157,4,439.65999999999997,4,5,5,14,Champions
CUST000165,236,1,94.53,3,1,2,6,At Risk
CUST000166,180,3,325.26,4,4,5,13,Champions
CUST000167,86,2,94.58,4,3,2,9,Potential Loyalists
CUST000168,111,3,449.86,4,4,5,13,Champions
CUST000169,169,3,212.05,4,4,4,12,Loyal Customers
CUST000170,291,1,99.78999999999999,3,1,2,6,At Risk
CUST000171,43,1,83.24000000000001,5,1,2,8,Potential Loyalists
CUST000172,194,1,189.3,3,1,4,8,Potential Loyalists
CUST000173,182,4,353.57,4,5,5,14,Champions
CUST000174,677,1,97.34,1,1,2,4,Lost Customers
CUST000176,37,1,96.46000000000001,5,1,2,8,Potential Loyalists
CUST000177,498,1,51.32,1,1,1,3,Lost Customers
CUST000178,302,4,455.66,3,5,5,13,Champions
CUST000179,163,1,63.629999999999995,4,1,1,6,At Risk
CUST000181,487,1,56.31,1,1,1,3,Lost Customers
CUST000183,618,1,57.34,1,1,1,3,Lost Customers
CUST000184,582,2,104.65,1,3,2,6,At Risk
CUST000185,321,2,160.05,2,3,3,8,Potential Loyalists
CUST000187,230,1,133.74,3,1,3,7,Potential Loyalists
CUST000188,502,1,185.52,1,1,4,6,At Risk
CUST000189,590,1,179.78,1,1,4,6,At Risk
CUST000190,46,1,77.72,5,1,2,8,Potential Loyalists
CUST000191,112,1,134.49,4,1,3,8,Potential Loyalists
CUST000192,675,1,119.17999999999999,1,1,3,5,At Risk
CUST000193,682,1,62.76,1,1,1,3,Lost Customers
CUST000194,234,1,38.12,3,1,1,5,At Risk
CUST000199,23,3,231.24,5,4,4,13,Champions
CUST000200,330,1,308.65,2,1,5,8,Potential Loyalists
CUST000202,13,4,621.4399999999999,5,5,5,15,Champions
CUST000203,187,5,309.95,3,5,5,13,Champions
CUST000204,437,1,80.58,2,1,2,5,At Risk
CUST000205,208,2,205.39999999999998,3,3,4,10,Loyal Customers
CUST000206,699,1,146.59,1,1,3,5,At Risk
CUST000207,147,6,804.96,4,5,5,14,Champions
CUST000208,345,1,53.239999999999995,2,1,1,4,Lost Customers
CUST000209,228,4,291.59999999999997,3,5,5,13,Champions
CUST000210,20,2,249.85999999999999,5,3,4,12,Loyal Customers
CUST000211,615,1,45.11,1,1,1,3,Lost Customers
CUST000212,186,2,243.39999999999998,3,3,4,10,Loyal Customers
CUST000214,69,1,109.89999999999999,5,1,2,8,Potential Loyalists
CUST000215,196,3,265.76,3,4,5,12,Loyal Customers
CUST000216,132,2,174.64,4,3,4,11,Loyal Customers
CUST000217,431,1,68.83,2,1,1,4,Lost Customers
CUST000218,11,3,193.16,5,4,4,13,Champions
CUST000219,190,1,32.19,3,1,1,5,At Risk
CUST000220,475,1,223.65,1,1,4,6,At Risk
CUST000221,238,1,122.49000000000001,3,1,3,7,Potential Loyalists
CUST000222,14,1,41.87,5,1,1,7,Potential Loyalists
CUST000223,60,2,197.17000000000002,5,3,4,12,Loyal Customers
CUST000224,305,1,76.81,3,1,2,6,At Risk
CUST000227,252,2,186.14,3,3,4,10,Loyal Customers
CUST000228,664,1,139.16,1,1,3,5,At Risk
CUST000229,493,2,83.56,1,3,2,6,At Risk
CUST000230,112,2,173.81,4,3,4,11,Loyal Customers
CUST000231,396,1,31.939999999999998,2,1,1,4,Lost Customers
CUST000232,387,1,56.199999999999996,2,1,1,4,Lost Customers
CUST000233,194,3,363.98,3,4,5,12,Loyal Customers
CUST000234,175,3,543.76,4,4,5,13,Champions
CUST000235,449,2,145.68,2,3,3,8,Potential Loyalists
CUST000236,278,1,62.11,3,1,1,5,At Risk
CUST000238,605,1,80.8,1,1,2,4,Lost Customers
CUST000240,368,1,137.3,2,1,3,6,At Risk
CUST000241,190,1,53.29,3,1,1,5,At Risk
CUST000242,288,1,97.47,3,1,2,6,At Risk
CUST000243,239,2,148.2,3,3,3,9,Potential Loyalists
CUST000244,625,1,30.950000000000003,1,1,1,3,Lost Customers
CUST000245,143,2,285.21000000000004,4,3,5,12,Loyal Customers
CUST000246,290,3,271.13,3,4,5,12,Loyal Customers
CUST000247,345,2,198.98,2,3,4,9,Potential Loyalists
CUST000248,313,1,181.54,2,1,4,7,Potential Loyalists
CUST000249,265,1,126.11,3,1,3,7,Potential Loyalists
CUST000250,149,1,112.17,4,1,2,7,Potential Loyalists
CUST000251,331,2,597.89,2,3,5,10,Loyal Customers
CUST000252,126,2,372.11,4,3,5,12,Loyal Customers
CUST000253,147,1,99.74,4,1,2,7,Potential Loyalists
CUST000254,140,2,172.89,4,3,4,11,Loyal Customers
CUST000255,38,3,274.82000000000005,5,4,5,14,Champions
CUST000257,447,1,56.129999999999995,2,1,1,4,Lost Customers
CUST000258,283,2,303.57,3,3,5,11,Loyal Customers
CUST000259,402,1,80.55000000000001,2,1,2,5,At Risk
CUST000260,631,1,103.6,1,1,2,4,Lost Customers
CUST000261,341,1,92.31,2,1,2,5,At Risk
CUST000263,170,2,172.43,4,3,4,11,Loyal Customers
CUST000266,226,1,50.489999999999995,3,1,1,5,At Risk
CUST000268,224,1,67.72999999999999,3,1,1,5,At Risk
CUST000269,43,2,151.4,5,3,3,11,Loyal Customers
CUST000273,294,1,94.2,3,1,2,6,At Risk
CUST000275,436,1,64.92,2,1,1,4,Lost Customers
CUST000276,681,1,77.83,1,1,2,4,Lost Customers
CUST000277,102,1,199.37,4,1,4,9,Potential Loyalists
CUST000279,331,2,126.32000000000001,2,3,3,8,Potential Loyalists
CUST000280,219,1,58.190000000000005,3,1,1,5,At Risk
CUST000281,120,3,402.54999999999995,4,4,5,13,Champions
CUST000282,130,2,132.56,4,3,3,10,Loyal Customers
CUST000283,151,2,103.57,4,3,2,9,Potential Loyalists
CUST000284,29,1,79.12,5,1,2,8,Potential Loyalists
CUST000286,540,1,60.589999999999996,1,1,1,3,Lost Customers
CUST000287,669,1,71.49000000000001,1,1,2,4,Lost Customers
CUST000289,133,3,344.36,4,4,5,13,Champions
CUST000290,419,2,170.01999999999998,2,3,3,8,Potential Loyalists
CUST000291,53,1,47.86,5,1,1,7,Potential Loyalists
CUST000292,176,3,212.43,4,4,4,12,Loyal Customers
CUST000293,244,1,117.01,3,1,3,7,Potential Loyalists
CUST000294,67,4,401.70000000000005,5,5,5,15,Champions
CUST000296,312,3,264.55,2,4,5,11,Loyal Customers
CUST000299,474,1,229.49,1,1,4,6,At Risk
CUST000301,698,1,59.54,1,1,1,3,Lost Customers
CUST000302,285,2,126.85999999999999,3,3,3,9,Potential Loyalists
CUST000306,631,1,114.62,1,1,3,5,At Risk
CUST000307,672,1,35.22,1,1,1,3,Lost Customers
CUST000308,445,2,297.23,2,3,5,10,Loyal Customers
CUST000310,101,5,426.07,4,5,5,14,Champions
CUST000311,170,2,332.2,4,3,5,12,Loyal Customers
CUST000312,189,1,60.05,3,1,1,5,At Risk
CUST000313,129,1,55.28,4,1,1,6,At Risk
CUST000315,538,1,51.56999999999999,1,1,1,3,Lost Customers
CUST000316,106,1,129.76,4,1,3,8,Potential Loyalists
CUST000318,320,3,249.88,2,4,4,10,Loyal Customers
CUST000319,636,1,53.89,1,1,1,3,Lost Customers
CUST000320,98,1,102.25,4,1,2,7,Potential Loyalists
CUST000322,331,1,83.71000000000001,2,1,2,5,At Risk
CUST000325,367,1,290.44,2,1,5,8,Potential Loyalists
CUST000327,142,2,192.26,4,3,4,11,Loyal Customers
CUST000329,281,3,202.99,3,4,4,11,Loyal Customers
CUST000330,64,4,525.17,5,5,5,15,Champions
CUST000331,230,2,236.71999999999997,3,3,4,10,Loyal Customers
CUST000332,136,2,241.57999999999998,4,3,4,11,Loyal Customers
CUST000334,35,4,522.03,5,5,5,15,Champions
CUST000335,360,1,32.92,2,1,1,4,Lost Customers
CUST000336,672,1,27.259999999999998,1,1,1,3,Lost Customers
CUST000337,547,1,35.69,1,1,1,3,Lost Customers
CUST000338,155,2,250.49,4,3,4,11,Loyal Customers
CUST000339,4,2,87.06,5,3,2,10,Loyal Customers
CUST000340,74,1,42.1,5,1,1,7,Potential Loyalists
CUST000341,277,1,12.71,3,1,1,5,At Risk
CUST000342,53,1,77.97999999999999,5,1,2,8,Potential Loyalists
CUST000343,348,1,97.08,2,1,2,5,At Risk
CUST000344,97,1,24.729999999999997,4,1,1,6,At Risk
CUST000345,14,2,158.98000000000002,5,3,3,11,Loyal Customers
CUST000346,289,3,718.77,3,4,5,12,Loyal Customers
CUST000347,7,2,184.7,5,3,4,12,Loyal Customers
CUST000348,542,1,121.02000000000001,1,1,3,5,At Risk
CUST000349,458,1,68.5,2,1,1,4,Lost Customers
CUST000352,221,3,269.5,3,4,5,12,Loyal Customers
CUST000353,124,1,64.84,4,1,1,6,At Risk
CUST000354,316,1,90.86,2,1,2,5,At Risk
CUST000356,44,2,122.45,5,3,3,11,Loyal Customers
CUST000357,455,3,328.28,2,4,5,11,Loyal Customers
CUST000358,681,1,131.89000000000001,1,1,3,5,At Risk
CUST000359,63,2,108.53999999999999,5,3,2,10,Loyal Customers
CUST000360,445,2,93.28,2,3,2,7,Potential Loyalists
CUST000361,520,1,79.07,1,1,2,4,Lost Customers
CUST000363,662,1,154.77,1,1,3,5,At Risk
CUST000364,646,1,182.51,1,1,4,6,At Risk
CUST000366,611,1,166.55,1,1,3,5,At Risk
CUST000367,366,2,157.28,2,3,3,8,Potential Loyalists
CUST000368,35,6,645.63,5,5,5,15,Champions
CUST000370,649,1,62.3,1,1,1,3,Lost Customers
CUST000371,219,2,169.67000000000002,3,3,3,9,Potential Loyalists
CUST000372,57,3,224.87,5,4,4,13,Champions
CUST000373,122,2,108.81,4,3,2,9,Potential Loyalists
CUST000374,104,2,158.66,4,3,3,10,Loyal Customers
CUST000375,15,2,324.0,5,3,5,13,Champions
CUST000376,437,1,57.98,2,1,1,4,Lost Customers
CUST000377,114,1,82.09,4,1,2,7,Potential Loyalists
CUST000379,50,2,204.74,5,3,4,12,Loyal Customers
CUST000381,348,1,66.08,2,1,1,4,Lost Customers
CUST000383,133,1,63.75,4,1,1,6,At Risk
CUST000384,696,1,32.93,1,1,1,3,Lost Customers
CUST000386,615,2,155.53,1,3,3,7,Potential Loyalists
CUST000387,11,3,181.29000000000002,5,4,4,13,Champions
CUST000388,441,2,365.03999999999996,2,3,5,10,Loyal Customers
CUST000389,427,2,183.68,2,3,4,9,Potential Loyalists
CUST000390,668,1,60.34,1,1,1,3,Lost Customers
CUST000392,498,1,145.81,1,1,3,5,At Risk
CUST000393,274,3,311.4,3,4,5,12,Loyal Customers
CUST000395,75,3,334.66,5,4,5,14,Champions
CUST000397,533,1,121.38000000000001,1,1,3,5,At Risk
CUST000398,190,1,51.8,3,1,1,5,At Risk
CUST000399,64,1,47.38,5,1,1,7,Potential Loyalists
CUST000402,34,1,45.32,5,1,1,7,Potential Loyalists
CUST000403,510,1,25.759999999999998,1,1,1,3,Lost Customers
CUST000405,477,1,94.97,1,1,2,4,Lost Customers
CUST000406,151,1,79.55000000000001,4,1,2,7,Potential Loyalists
CUST000407,118,2,147.85,4,3,3,10,Loyal Customers
CUST000408,179,2,83.49000000000001,4,3,2,9,Potential Loyalists
CUST000409,352,1,80.57,2,1,2,5,At Risk
CUST000410,25,3,307.44,5,4,5,14,Champions
CUST000411,89,3,294.68,4,4,5,13,Champions
CUST000412,14,2,181.43,5,3,4,12,Loyal Customers
CUST000413,50,1,75.98,5,1,2,8,Potential Loyalists
CUST000414,271,2,113.2,3,3,3,9,Potential Loyalists
CUST000415,80,2,322.08000000000004,5,3,5,13,Champions
CUST000417,127,1,58.49,4,1,1,6,At Risk
CUST000418,442,1,54.21,2,1,1,4,Lost Customers
CUST000420,587,1,120.3,1,1,3,5,At Risk
CUST000421,355,2,179.42000000000002,2,3,4,9,Potential Loyalists
CUST000424,563,2,130.66000000000003,1,3,3,7,Potential Loyalists
CUST000425,402,1,325.77,2,1,5,8,Potential Loyalists
CUST000426,5,2,211.79000000000002,5,3,4,12,Loyal Customers
CUST000427,641,1,131.7,1,1,3,5,At Risk
CUST000432,145,2,161.20000000000002,4,3,3,10,Loyal Customers
CUST000433,133,2,55.19,4,3,1,8,Potential Loyalists
CUST000434,31,3,301.8,5,4,5,14,Champions
CUST000435,361,1,39.230000000000004,2,1,1,4,Lost Customers
CUST000439,112,1,156.68,4,1,3,8,Potential Loyalists
CUST000440,241,3,150.19,3,4,3,10,Loyal Customers
CUST000442,639,1,123.64,1,1,3,5,At Risk
CUST000443,215,4,448.79,3,5,5,13,Champions
CUST000445,598,1,120.74,1,1,3,5,At Risk
CUST000446,300,1,55.31,3,1,1,5,At Risk
CUST000448,253,2,391.08000000000004,3,3,5,11,Loyal Customers
CUST000449,62,4,297.58000000000004,5,5,5,15,Champions
CUST000450,317,1,58.1,2,1,1,4,Lost Customers
CUST000451,548,1,276.34999999999997,1,1,5,7,Potential Loyalists
CUST000453,655,1,144.84,1,1,3,5,At Risk
CUST000454,65,1,24.450000000000003,5,1,1,7,Potential Loyalists
CUST000455,517,1,32.41,1,1,1,3,Lost Customers
CUST000456,245,1,71.79,3,1,2,6,At Risk
CUST000459,90,2,190.35000000000002,4,3,4,11,Loyal Customers
CUST000461,9,4,256.11,5,5,4,14,Champions
CUST000462,62,2,174.67000000000002,5,3,4,12,Loyal Customers
CUST000468,143,1,119.23,4,1,3,8,Potential Loyalists
CUST000469,24,2,204.78,5,3,4,12,Loyal Customers
CUST000470,50,1,131.26,5,1,3,9,Potential Loyalists
CUST000471,99,1,48.900000000000006,4,1,1,6,At Risk
CUST000472,46,1,99.53,5,1,2,8,Potential Loyalists
CUST000474,164,1,184.01999999999998,4,1,4,9,Potential Loyalists
CUST000475,134,2,75.43,4,3,2,9,Potential Loyalists
CUST000480,432,1,47.78,2,1,1,4,Lost Customers
CUST000482,62,2,180.45999999999998,5,3,4,12,Loyal Customers
CUST000483,251,2,382.52,3,3,5,11,Loyal Customers
CUST000484,111,1,237.51999999999998,4,1,4,9,Potential Loyalists
CUST000485,547,1,77.97,1,1,2,4,Lost Customers
CUST000486,20,2,176.18,5,3,4,12,Loyal Customers
CUST000490,80,2,187.10000000000002,5,3,4,12,Loyal Customers
CUST000492,71,2,253.53000000000003,5,3,4,12,Loyal Customers
CUST000493,328,2,149.65,2,3,3,8,Potential Loyalists
CUST000495,494,2,124.07,1,3,3,7,Potential Loyalists
CUST000496,18,4,418.51,5,5,5,15,Champions
CUST000497,512,1,62.34,1,1,1,3,Lost Customers
CUST000500,354,2,67.68,2,3,1,6,At Risk
CUST000501,129,2,78.6,4,3,2,9,Potential Loyalists
CUST000502,57,1,40.25,5,1,1,7,Potential Loyalists
CUST000503,510,2,123.21,1,3,3,7,Potential Loyalists
CUST000506,292,1,155.8,3,1,3,7,Potential Loyalists
CUST000507,124,3,389.26,4,4,5,13,Champions
CUST000511,306,2,116.33,3,3,3,9,Potential Loyalists
CUST000513,542,1,179.62,1,1,4,6,At Risk
CUST000514,32,1,99.63,5,1,2,8,Potential Loyalists
CUST000515,311,2,524.94,2,3,5,10,Loyal Customers
CUST000517,493,1,212.86,1,1,4,6,At Risk
CUST000518,243,2,119.7,3,3,3,9,Potential Loyalists
CUST000521,299,1,110.67999999999999,3,1,2,6,At Risk
CUST000523,81,2,121.57,5,3,3,11,Loyal Customers
CUST000524,170,1,80.88,4,1,2,7,Potential Loyalists
CUST000525,154,1,51.14,4,1,1,6,At Risk
CUST000526,590,2,165.7,1,3,3,7,Potential Loyalists
CUST000527,598,1,123.5,1,1,3,5,At Risk
CUST000528,630,1,29.96,1,1,1,3,Lost Customers
CUST000529,291,1,129.95,3,1,3,7,Potential Loyalists
CUST000530,583,1,73.92999999999999,1,1,2,4,Lost Customers
CUST000531,221,2,278.81,3,3,5,11,Loyal Customers
CUST000533,178,5,395.28,4,5,5,14,Champions
CUST000534,20,3,259.74,5,4,4,13,Champions
CUST000535,579,1,123.35,1,1,3,5,At Risk
CUST000536,168,1,55.61,4,1,1,6,At Risk
CUST000537,11,2,1041.1,5,3,5,13,Champions
CUST000538,487,1,122.16,1,1,3,5,At Risk
CUST000539,307,1,25.58,3,1,1,5,At Risk
CUST000540,455,1,322.55,2,1,5,8,Potential Loyalists
CUST000541,403,1,25.16,2,1,1,4,Lost Customers
CUST000542,24,3,337.4,5,4,5,14,Champions
CUST000543,22,1,55.28,5,1,1,7,Potential Loyalists
CUST000544,556,1,99.09,1,1,2,4,Lost Customers
CUST000545,70,3,295.72,5,4,5,14,Champions
CUST000547,444,1,87.57,2,1,2,5,At Risk
CUST000551,283,2,234.26,3,3,4,10,Loyal Customers
CUST000552,192,3,195.11,3,4,4,11,Loyal Customers
CUST000553,459,2,214.62,2,3,4,9,Potential Loyalists
CUST000554,407,1,110.58999999999999,2,1,2,5,At Risk
CUST000555,293,4,415.42,3,5,5,13,Champions
CUST000556,5,2,193.01,5,3,4,12,Loyal Customers
CUST000557,340,3,273.61999999999995,2,4,5,11,Loyal Customers
CUST000558,235,3,547.63,3,4,5,12,Loyal Customers
CUST000559,645,1,46.11,1,1,1,3,Lost Customers
CUST000560,648,1,22.509999999999998,1,1,1,3,Lost Customers
CUST000561,223,1,50.58,3,1,1,5,At Risk
CUST000565,621,2,252.90999999999997,1,3,4,8,Potential Loyalists
CUST000566,398,1,182.6,2,1,4,7,Potential Loyalists
CUST000567,630,1,172.01,1,1,4,6,At Risk
CUST000568,246,2,213.6,3,3,4,10,Loyal Customers
CUST000569,638,1,59.42,1,1,1,3,Lost Customers
CUST000570,530,3,199.48000000000002,1,4,4,9,Potential Loyalists
CUST000574,375,1,165.85000000000002,2,1,3,6,At Risk
CUST000576,122,4,360.01,4,5,5,14,Champions
CUST000578,104,2,203.56,4,3,4,11,Loyal Customers
CUST000579,343,2,148.57,2,3,3,8,Potential Loyalists
CUST000580,85,3,411.18,4,4,5,13,Champions
CUST000583,454,1,104.71,2,1,2,5,At Risk
CUST000584,464,1,77.89,2,1,2,5,At Risk
CUST000586,120,2,202.04000000000002,4,3,4,11,Loyal Customers
CUST000587,131,3,326.15,4,4,5,13,Champions
CUST000589,596,1,103.42,1,1,2,4,Lost Customers
CUST000591,12,4,244.76,5,5,4,14,Champions
CUST000592,111,1,109.44999999999999,4,1,2,7,Potential Loyalists
CUST000594,97,4,320.90999999999997,4,5,5,14,Champions
CUST000595,654,1,38.39,1,1,1,3,Lost Customers
CUST000597,380,2,162.92,2,3,3,8,Potential Loyalists
CUST000598,237,1,219.09,3,1,4,8,Potential Loyalists
CUST000599,62,2,206.28,5,3,4,12,Loyal Customers
CUST000600,320,2,100.22999999999999,2,3,2,7,Potential Loyalists
CUST000601,13,3,306.81,5,4,5,14,Champions
CUST000603,434,1,90.62,2,1,2,5,At Risk
CUST000604,326,1,111.34,2,1,2,5,At Risk
CUST000605,119,3,187.63,4,4,4,12,Loyal Customers
CUST000606,20,6,485.99,5,5,5,15,Champions
CUST000607,528,1,43.91,1,1,1,3,Lost Customers
CUST000608,397,2,160.75,2,3,3,8,Potential Loyalists
CUST000610,441,2,320.82,2,3,5,10,Loyal Customers
CUST000613,255,2,171.26,3,3,4,10,Loyal Customers
CUST000614,40,1,131.46,5,1,3,9,Potential Loyalists
CUST000615,604,1,128.15,1,1,3,5,At Risk
